Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
HB 5039 of 2011,House Bill,Civil rights; general discrimination; discrimination ordinances and regulations based on new classifications; prohibit. Amends 1976 PA 453 (MCL 37.2101 - 37.2804) by adding sec. 706.Last Action: printed bill filed 10/06/2011
HB 5040 of 2011,House Bill,"Higher education; education programs; education programs for counselors, social workers, and psychologists; prohibit discrimination against students for sincerely held religious beliefs. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HB 5041 of 2011,House Bill,"Holidays; other; ""Filipino American Heritage Month""; establish as the month of October. Creates new act.Last Action: printed bill filed 10/06/2011"
HB 5042 of 2011,House Bill,Highways; signs; use of temporary signs on state highways; allow for community service and religious organizations under certain circumstances. Amends sec. 5 of 1972 PA 106 (MCL 252.305).Last Action: printed bill filed 10/06/2011
HB 5043 of 2011,House Bill,Crimes; kidnapping; kidnapping; expand intent element. Amends sec. 349 of 1931 PA 328 (MCL 750.349).Last Action: printed bill filed 10/06/2011
HB 5044 of 2011 (PA 227 of 2012),House Bill,"Highways; name; portion of I-94; designate as the ""Auxiliary Lieutenant Dan Kromer Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 1070.Last Action: assigned PA 227'12 with immediate effect"
HB 5045 of 2011 (PA 228 of 2012),House Bill,"Highways; name; portion of US-24; designate as the ""Corporal Matthew Edwards Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 1071.Last Action: assigned PA 228'12 with immediate effect"
HB 5046 of 2011,House Bill,"Housing; condominium; date that undeveloped property becomes ownership of association; revise date. Amends secs. 31, 32, 33 & 90 of 1978 PA 59 (MCL 559.131 et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
HB 5047 of 2011 (PA 461 of 2012),House Bill,Property tax; assessments; use of computerized database as tax roll; allow for county treasurers. Amends sec. 42a of 1893 PA 206 (MCL 211.42a).Last Action: assigned PA 461'12 with immediate effect   2012 ADDENDA
HB 5048 of 2011,House Bill,"Human services; medical services; office of medicaid inspector general; create. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding secs. 104, 104a, 104b, 104c & 104d.Last Action: printed bill filed 10/06/2011"
HB 5049 of 2011,House Bill,Vehicles; registration; language in application for recreation passport; modify. Amends sec. 805 of 1949 PA 300 (MCL 257.805).Last Action: printed bill filed 10/06/2011
HB 5050 of 2011 (PA 104 of 2012),House Bill,"Law enforcement; investigations; providing false information to peace officer conducting criminal investigation; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 479c.Last Action: assigned PA 104'12 with immediate effect"
HB 5051 of 2011 (PA 105 of 2012),House Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of providing false information to a peace officer conducting a criminal investigation; enact. Amends sec. 16x, ch. XVII of 1927 PA 175 (MCL 777.16x).  TIE BAR WITH: HB 5050'11Last Action: assigned PA 105'12 with immediate effect"
HB 5052 of 2011,House Bill,Civil procedure; evictions; persons entitled to appear in eviction proceedings; allow certain individuals to appear for landlord. Amends 1961 PA 236 (MCL 600.101 - 600.9947) by adding sec. 916a.Last Action: printed bill filed 10/12/2011
HB 5053 of 2011 (PA 337 of 2012),House Bill,"Natural resources; fishing; export of live minnows, wigglers, or crayfish as bait; allow. Amends sec. 48729 of 1994 PA 451 (MCL 324.48729).Last Action: assigned PA 337'12 with immediate effect"
HB 5054 of 2011,House Bill,"Economic development; other; Michigan business corps; create. Amends 1984 PA 270 (MCL 125.2001 - 125.2094) by adding ch. 5A.
Last Action: printed bill filed 10/12/2011"
HB 5055 of 2011 (PA 422 of 2012),House Bill,Employment security; administration; privilege for testimony in Michigan employment security commission proceedings; provide waiver under certain circumstances. Amends 1936 (Ex Sess) PA 1 (MCL 421.1 - 421.75) by adding sec. 11a.Last Action: assigned PA 422'12 with immediate effect
HB 5056 of 2011,House Bill,Controlled substances; other; drug sold under the generic name carisoprodol: classify as a schedule IV drug. Amends sec. 7218 of 1978 PA 368 (MCL 333.7218).Last Action: printed bill filed 10/12/2011
HB 5057 of 2011 (PA 127 of 2012),House Bill,Records; birth; heirloom birth certificate; establish flat fee. Amends sec. 2882a of 1978 PA 368 (MCL 333.2882a).Last Action: assigned PA 127'12 with immediate effect
HB 5058 of 2011 (PA 275 of 2012),House Bill,Campaign finance; contributions and expenditures; expenditures by candidate committees to defend certain officials in criminal or civil actions; limit. Amends secs. 9 & 21a of 1976 PA 388 (MCL 169.209 & 169.221a).Last Action: assigned PA 275'12 with immediate effect
HB 5059 of 2011 (PA 273 of 2012),House Bill,"Campaign finance; statements and reports; ballot question and political party committee filing requirements; modify. Amends secs. 3, 4, 6, 11, 33 & 35 of 1976 PA 388 (MCL 169.203 et seq.).  TIE BAR WITH: SB 0753'11Last Action: assigned PA 273'12 with immediate effect"
HB 5060 of 2011,House Bill,Elections; absent voters; definition of absent voter; expand to include an elector who applies in person at the clerk's office and who presents photo identification. Amends secs. 758 & 759 of 1954 PA 116 (MCL 168.758 & 168.759).Last Action: printed bill filed 10/13/2011
HB 5061 of 2011,House Bill,"Elections; absent voters; photograph identification; require when obtaining an absentee ballot, require certain reporting by local clerks concerning registration affidavits, and require secretary of state to develop information displays indicating that ballot coaching in residential care facilities is prohibited. Amends secs. 761, 813 & 829 of 1954 PA 116 (MCL 168.761 et seq.) & adds sec. 38.Last Action: re-referred to Committee on Redistricting and Elections"
HB 5062 of 2011 (PA 271 of 2012),House Bill,"Elections; other; postelection audits and continuing election education programs; add to the Michigan election law and make other miscellaneous changes to the Michigan election law. Amends secs. 31, 33, 514, 679a, 811, 847 & 942 of 1954 PA 116 (MCL 168.31 et seq.) & adds sec. 31a.Last Action: assigned PA 271'12 with immediate effect"
HB 5063 of 2011,House Bill,"Elections; canvassing; approval by board of canvassers prior to circulating a petition; mandate. Amends secs. 22e, 32, 477 & 480 of 1954 PA 116 (MCL 168.22e et seq.); adds sec. 483a & repeals secs. 474, 649 & 707 of 1954 PA 116 (MCL 168.474 et seq.).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS"
HB 5064 of 2011,House Bill,Weapons; other; right to transportation and storage of firearms under certain circumstances; allow. Amends title of 1927 PA 372 (MCL 28.421 - 28.435) & adds secs. 1b & 16.Last Action: printed bill filed 10/13/2011
HB 5065 of 2011,House Bill,"Vehicles; registration plates; renewal of ""Auto Centennial"" and ""Great Lakes Splendor"" license plates; prohibit. Amends sec. 224 of 1949 PA 300 (257.224).Last Action: referred to second reading"
HB 5066 of 2011 (PA 316 of 2011),House Bill,Michigan business tax; credits; credit for certain personal property taxes; revise. Amends sec. 413 of 2007 PA 36 (MCL 208.1413).Last Action: assigned PA 316'11 with immediate effect
HB 5067 of 2011 (PA 317 of 2011),House Bill,Education; financing; exemption for certain personal property taxes; revise. Amends sec. 1211 of 1976 PA 451 (MCL 380.1211).Last Action: assigned PA 317'11 with immediate effect
HB 5068 of 2011 (PA 318 of 2011),House Bill,Property tax; state education tax; exemption for certain personal property taxes; revise. Amends sec. 3 of 1993 PA 331 (MCL 211.903).Last Action: assigned PA 318'11 with immediate effect
HB 5069 of 2011 (PA 319 of 2011),House Bill,Economic development; plant rehabilitation; exemption for certain personal property taxes; revise. Amends sec. 14 of 1974 PA 198 (MCL 207.564).Last Action: assigned PA 319'11 with immediate effect
HB 5070 of 2011,House Bill,Health; occupations; midwives; provide for licensing and other regulation. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16326 and pt. 171.Last Action: printed bill filed 10/14/2011
HB 5071 of 2011 (PA 33 of 2012),House Bill,Courts; judges; certain district court judgeships; reduce in number. Amends sec. 8151 of 1961 PA 236 (MCL 600.8151).Last Action: assigned PA 33'12 with immediate effect
HB 5072 of 2011 (PA 34 of 2012),House Bill,Courts; judges; certain district court judgeships; reduce in number. Amends secs. 8158 & 8163 of 1961 PA 236 (MCL 600.8158 & 600.8163).Last Action: assigned PA 34'12 with immediate effect
HB 5073 of 2011 (PA 16 of 2012),House Bill,Courts; judges; certain district court judgeships; reduce in number. Amends secs. 8125 & 8134 of 1961 PA 236 (MCL 600.8125 & 600.8134).Last Action: assigned PA 16'12 with immediate effect
HB 5074 of 2011 (PA 17 of 2012),House Bill,Courts; judges; certain district court judgeships; reduce in number. Amends sec. 8133 of 1961 PA 236 (MCL 600.8133).Last Action: assigned PA 17'12 with immediate effect
HB 5075 of 2011 (PA 18 of 2012),House Bill,Courts; judges; certain circuit court and district court judgeships; reduce in number. Amends secs. 528 & 8144 of 1961 PA 236 (MCL 600.528 & 600.8144).Last Action: assigned PA 18'12 with immediate effect
HB 5076 of 2011,House Bill,Local government; budgets; challenging an approved budget; clarify. Amends secs. 16 & 18 of 1968 PA 2 (MCL 141.436 & 141.438).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
HB 5077 of 2011,House Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of first degree and second degree child abuse; revise, and provide penalties for crimes involving the commission of child abuse in the presence of another child. Amends sec. 16g, ch. XVII of 1927 PA 175 (MCL 777.16g).  TIE BAR WITH: HB 5078'11Last Action: printed bill filed 10/14/2011"
HB 5078 of 2011,House Bill,"Crimes; crimes against minors; child abuse penalties; enhance, and provide penalties for crimes involving the commission of child abuse in the presence of another child. Amends sec. 136b of 1931 PA 328 (MCL 750.136b) & adds sec. 136d.Last Action: printed bill filed 10/14/2011"
HB 5079 of 2011,House Bill,Traffic control; driver license; designation of veteran status on driver license; provide for. Amends sec. 310 of 1949 PA 300 (MCL 257.310).Last Action: printed bill filed 10/19/2011
HB 5080 of 2011,House Bill,"Cemeteries and funerals; prepaid contracts; condition of cancellation of prepaid contract with cemetery; modify, and make other miscellaneous changes to the prepaid funeral and cemetery sales act. Amends secs. 12 & 13 of 1986 PA 255 (MCL 328.222 & 328.223).Last Action: printed bill filed 10/19/2011"
HB 5081 of 2011 (PA 86 of 2012),House Bill,"Commercial code; other; general revisions to article 1 of the uniform commercial code; provide for. Amends heading of pt. 1 & secs. 1101, 1102, 1103, 1106, 1202, 1203, 1204, 1205, 1206, 2202, 2A501, 2A518, 2A519, 2A527, 2A528, 3103, 4A105, 4A106, 4A204, 5103 & 8102 of 1962 PA 174 (MCL 440.1101 et seq.); adds heading for pt. 3 & secs. 1108, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309 & 1310 & repeals secs. 1105, 1107, 1207, 1208, 1209, 1210, 1211, 2208 & 2A207 of 1962 PA 174 (MCL 440.1105 et seq.).  TIE BAR WITH: HB 5082'11, HB 5083'11Last Action: assigned PA 86'12 with immediate effect"
HB 5082 of 2011 (PA 87 of 2012),House Bill,"Commercial code; warehouse receipts; general revisions to article 7 of the uniform commercial code; provide for. Amends secs. 1201, 2103, 2104, 2310, 2323, 2401, 2503, 2505, 2506, 2509, 2605, 2705, 2A103, 2A514, 2A526, 4104, 4210, 7101, 7102, 7103, 7104, 7105, 7201, 7202, 7203, 7204, 7205, 7206, 7207, 7208, 7209, 7210, 7301, 7302, 7303, 7304, 7305, 7307, 7308, 7309, 7401, 7402, 7403, 7404, 7501, 7502, 7503, 7504, 7505, 7506, 7507, 7508, 7509, 7601, 7602, 7603, 8103, 9102, 9203, 9207, 9208, 9301, 9310, 9312, 9313, 9314, 9317, 9338 & 9601 of 1962 PA 174 (MCL 440.1201 et seq.) & adds sec. 7106 & pt. 7.  TIE BAR WITH: HB 5081'11, HB 5083'11Last Action: assigned PA 87'12 with immediate effect"
HB 5083 of 2011 (PA 88 of 2012),House Bill,"Commercial code; secured transactions; general revisions to article 9 of the uniform commercial code; provide for. Amends secs. 9105, 9307, 9311, 9316, 9326, 9406, 9408, 9502, 9503, 9507, 9515, 9516, 9518, 9521 & 9607 of 1962 PA 174 (MCL 440.9105 et seq.); adds pt. 8 to art. 9 & repeals art. 11 of 1962 PA 174 (MCL 440.11101 - 440.11102).  TIE BAR WITH: HB 5081'11, HB 5082'11Last Action: assigned PA 88'12 with immediate effect"
HB 5084 of 2011,House Bill,Liquor; retail sales; sale of beer and wine by certain hotels; allow. Amends sec. 229 of 1998 PA 58 (MCL 436.1229).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
HB 5085 of 2011 (PA 30 of 2012),House Bill,Campaign finance; contributions and expenditures; certain payroll deduction plans used to collect a contribution; prohibit. Amends sec. 7 of 1978 PA 390 (MCL 408.477).Last Action: assigned PA 30'12 with immediate effect
HB 5086 of 2011 (PA 31 of 2012),House Bill,"Campaign finance; contributions and expenditures; prohibition on using public resources to establish or administer certain payroll deduction plans; provide for. Amends secs. 4, 6, 11, 15 & 57 of 1976 PA 388 (MCL 169.204 et seq.).Last Action: assigned PA 31'12 with immediate effect"
HB 5087 of 2011 (PA 298 of 2011),House Bill,"Liquor; other; barrel production limit for breweries to sell beer for on-premises consumption; eliminate. Amends secs. 411, 537 & 603 of 1998 PA 58 (MCL 436.1411 et seq.).Last Action: assigned PA 298'11 with immediate effect"
HB 5088 of 2011,House Bill,Property tax; other; ballot language for local millages; clarify. Amends sec. 24f of 1893 PA 206 (MCL 211.24f).Last Action: REFERRED TO COMMITTEE ON FINANCE
